COUNTRY,NOBEL,POP,CHOC,FB
Germany,103,81305856,11.40,22123660
Switzerland,25,7925517,10.80,2727600
United Kingdom,119,63047162,10.30,30470400
Norway,11,4707270,9.80,2561820
Denmark,14,5543453,8.60,2835120
Austria,20,8219743,7.90,2766540
France,59,65630692,7.40,23544460
Finland,4,5262930,7.00,2078880
Belgium,9,10438353,6.80,4634220
Sweden,29,9103788,6.60,4519780
Lithuania,1,3525761,6.10,983440
Australia,12,22015576,6.00,10721020
United States,338,313847465,5.10,157418920
Poland,12,38415284,4.50,7524220
Greece,2,10767827,4.50,3562120
Hungary,9,9958453,3.50,3751300
Spain,8,47042984,3.30,15682800
Italy,20,61261254,3.30,20889260
Brazil,1,199321413,2.50,35158740
Bulgaria,1,7037935,2.20,2386800
Japan,19,127368088,2.20,7684120
Ireland,6,4722028,8.83,2093960
Canada,21,34300083,3.90,17113220
China,8,1343239923,0.06,447460
Israel,10,7590758,3.00,3469020
Netherlands,19,16730632,2.30,5759840
Czech Republic,5,10177300,2.20,3502420
Romania,3,21848504,1.00,4161340
Portugal,2,10781459,1.90,4174000
Slovenia,1,1996617,2.90,670660
Latvia,1,2191580,2.20,319300
Luxembourg,2,509074,4.30,190020
Cyprus,1,1138071,2.50,553860
South Africa,9,48810427,1.30,4969640
Russia,23,142517670,3.10,5237420
Iceland,1,313183,7.60,210220
